county,town,census_2010,proj_2020,pct_change_2020,proj_2030,pct_change_2030
RUTLAND,WALLINGFORD,2079,1917,-7.8,1737,-16.5
RUTLAND,WELLS,1150,1178,2.4,1147,-0.3
RUTLAND,WEST HAVEN,264,247,-6.4,225,-14.8
RUTLAND,WEST RUTLAND,2326,2145,-7.8,1945,-16.4
WASHINGTON,BARRE TOWN,7924,7962,0.5,7933,0.1
WASHINGTON,BARRE CITY,9052,8694,-4.0,8400,-7.2
WASHINGTON,BERLIN,2887,2918,1.1,2912,0.9
WASHINGTON,CABOT,1433,1585,10.6,1687,17.7
WASHINGTON,CALAIS,1607,1613,0.4,1607,0.0
WASHINGTON,DUXBURY,1337,1436,7.4,1491,11.5
WASHINGTON,EAST MONTPELIER,2576,2613,1.4,2613,1.4
WASHINGTON,FAYSTON,1353,1561,15.4,1706,26.1
WASHINGTON,MARSHFIELD,1588,1649,3.8,1677,5.6
WASHINGTON,MIDDLESEX,1731,1754,1.3,1752,1.2
WASHINGTON,MONTPELIER,7855,7546,-3.9,7294,-7.1
WASHINGTON,MORETOWN,1658,1692,2.1,1698,2.4
WASHINGTON,NORTHFIELD,6207,6336,2.1,6382,2.8
WASHINGTON,PLAINFIELD,1243,1191,-4.2,1149,-7.6
WASHINGTON,ROXBURY,691,743,7.5,778,12.6
WASHINGTON,WAITSFIELD,1719,1781,3.6,1808,5.2
WASHINGTON,WARREN,1705,1860,9.1,1947,14.2
WASHINGTON,WATERBURY,5064,5115,1.0,5108,0.9
WASHINGTON,WOODBURY,906,951,5.0,977,7.8
WASHINGTON,WORCESTER,998,1027,2.9,1041,4.3
WINDHAM,ATHENS,442,505,14.3,545,23.3
WINDHAM,BRATTLEBORO,12046,11700,-2.9,11275,-6.4
WINDHAM,BROOKLINE,530,572,7.9,591,11.5
WINDHAM,DOVER,1124,1099,-2.2,1052,-6.4
WINDHAM,DUMMERSTON,1864,1805,-3.2,1733,-7.0
WINDHAM,GRAFTON,679,690,1.6,685,0.9
WINDHAM,GUILFORD,2121,2132,0.5,2102,-0.9
WINDHAM,HALIFAX,728,743,2.1,736,1.1
WINDHAM,JAMAICA,1035,1120,8.2,1159,12.0
WINDHAM,LONDONDERRY,1769,1812,2.4,1806,2.1
WINDHAM,MARLBORO,1078,1119,3.8,1129,4.7
WINDHAM,NEWFANE,1726,1739,0.8,1715,-0.6
WINDHAM,PUTNEY,2702,2746,1.6,2723,0.8
WINDHAM,ROCKINGHAM,5282,5092,-3.6,4883,-7.6
WINDHAM,STRATTON,216,279,29.2,330,52.8
WINDHAM,TOWNSHEND,1232,1282,4.1,1293,5.0
WINDHAM,VERNON,2206,2267,2.8,2264,2.6
WINDHAM,WARDSBORO,900,968,7.6,995,10.6
WINDHAM,WESTMINSTER,3178,3128,-1.6,3037,-4.4
WINDHAM,WHITINGHAM,1357,1386,2.1,1380,1.7
WINDHAM,WILMINGTON,1876,1744,-7.0,1624,-13.4
WINDHAM,WINDHAM,419,496,18.4,548,30.8
WINDHAM,SOMERSET,3,3,0.0,4,33.3
WINDSOR,ANDOVER,467,478,2.4,477,2.1
WINDSOR,BALTIMORE,244,253,3.7,255,4.5
WINDSOR,BARNARD,947,939,-0.8,918,-3.1
WINDSOR,BETHEL,2030,2033,0.1,2005,-1.2
WINDSOR,BRIDGEWATER,936,912,-2.6,881,-5.9
WINDSOR,CAVENDISH,1367,1320,-3.4,1267,-7.3
WINDSOR,CHESTER,3154,3181,0.9,3153,0.0
WINDSOR,HARTFORD,9952,9730,-2.2,9426,-5.3
WINDSOR,HARTLAND,3393,3453,1.8,3443,1.5
WINDSOR,LUDLOW,1963,1750,-10.9,1590,-19.0
WINDSOR,NORWICH,3414,3381,-1.0,3302,-3.3
WINDSOR,PLYMOUTH,619,676,9.2,707,14.2
WINDSOR,POMFRET,904,872,-3.5,836,-7.5
WINDSOR,READING,666,654,-1.8,634,-4.8
WINDSOR,ROCHESTER,1139,1090,-4.3,1043,-8.4
WINDSOR,ROYALTON,2773,2846,2.6,2855,3.0
WINDSOR,SHARON,1502,1569,4.5,1591,5.9
WINDSOR,SPRINGFIELD,9373,9145,-2.4,8881,-5.2
WINDSOR,STOCKBRIDGE,736,765,3.9,775,5.3
WINDSOR,WEATHERSFIELD,2825,2795,-1.1,2735,-3.2
WINDSOR,WESTON,566,563,-0.5,549,-3.0
WINDSOR,WEST WINDSOR,1099,1127,2.5,1128,2.6
WINDSOR,WINDSOR,3553,3372,-5.1,3206,-9.8
WINDSOR,WOODSTOCK,3048,2884,-5.4,2738,-10.2
